Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2019-08-11,11278.2812549022,11827.5745728427,11967.8779622672,11227.6222137083
BTC,2019-08-12,11485.3657829898,11279.875538619,11545.1045253183,11101.0148454184
BTC,2019-08-13,11391.9686539038,11485.3640773925,11583.8906973405,11227.4406640768
BTC,2019-08-14,10869.3791128623,11391.9638254355,11434.8885296357,10746.7559476825
BTC,2019-08-15,10211.4985816982,10851.200469968,10860.8239741865,10047.9951301391
BTC,2019-08-16,10386.5395500195,10211.509511264,10444.0799631082,9682.7114223927
BTC,2019-08-17,10388.4505925604,10307.2597589846,10530.365307162,9726.9781503814
BTC,2019-08-18,10212.1014417394,10388.4580419409,10463.9187086365,9994.1082464545
BTC,2019-08-19,10335.3728385716,10211.6709254074,10462.7495056741,10082.2654915398
BTC,2019-08-20,10774.8103058331,10335.3744772756,10812.7970799622,10264.4564614099
BTC,2019-08-21,10818.5070076193,10774.8242118954,10943.8704129867,10531.4885593807
BTC,2019-08-22,10064.9167944793,10818.5226287878,10818.5891317862,9864.136684453
BTC,2019-08-23,10161.1647494901,10064.9310569138,10229.0170057546,9762.0524126348
BTC,2019-08-24,10364.2813536875,10103.4428968157,10450.2923381724,10034.0864475747
BTC,2019-08-25,10171.4974606754,10392.6163373387,10408.9638527379,9901.48601199
BTC,2019-08-26,10068.922419922,10171.4901866522,10292.8410213641,9911.5088196017
BTC,2019-08-27,10312.2150398496,10138.5708591703,10624.6051684248,10136.0717230708
BTC,2019-08-28,10122.1965329581,10312.1968630254,10402.2974923049,10042.8792879247
BTC,2019-08-29,9743.1620510451,10169.1427383499,10279.2542249405,9600.8350390244
BTC,2019-08-30,9487.9764335192,9743.1587296904,9747.1198283495,9325.3941544287
BTC,2019-08-31,9590.7363369227,9487.9600487016,9682.7255361249,9343.706051107
BTC,2019-09-01,9624.9839105321,9580.7613524785,9699.8643785368,9406.4444841648
BTC,2019-09-02,9780.6678970327,9624.9799668178,9819.1586219728,9552.150793747
BTC,2019-09-03,10381.8559592516,9781.8643381081,10440.2204552588,9738.2475728895
BTC,2019-09-04,10691.31129913,10366.3738173131,10752.421494933,10290.4944163268
BTC,2019-09-05,10555.0469008368,10691.3185189859,10810.0181694004,10185.2579080405
BTC,2019-09-06,10576.3178915251,10555.0623986939,10643.9460656338,10463.8132938419
BTC,2019-09-07,10334.0238858467,10576.325191402,10928.3438130991,10201.6083180634
BTC,2019-09-08,10495.2273642085,10333.9990632916,10563.7108903098,10288.7531640979
BTC,2019-09-09,10402.7965306911,10485.4097238908,10595.1955635918,10244.5825763984
BTC,2019-09-10,10332.9421881057,10402.7679483575,10524.3869543828,10097.980384673
BTC,2019-09-11,10082.9468264833,10332.9372738617,10380.3065877429,9956.122723091
BTC,2019-09-12,10152.7529840771,10107.4950381242,10269.0303923868,9891.8033006502
BTC,2019-09-13,10396.7672047403,10152.7606229694,10459.9266066139,10055.264493713
BTC,2019-09-14,10299.4769604855,10396.7622589643,10447.3886320838,10167.9910490121
BTC,2019-09-15,10351.2320218437,10299.4945680727,10425.9118165804,10229.4541811551
BTC,2019-09-16,10302.1907136783,10361.0856374306,10381.5645871136,10267.8654622876
BTC,2019-09-17,10301.6596516938,10306.1484003644,10373.063508627,10093.1402791067
BTC,2019-09-18,10231.4215119596,10301.6612572095,10304.6236445462,10145.3457608603
BTC,2019-09-19,10168.2877093815,10231.4130246146,10263.8233825536,10094.3250130397
BTC,2019-09-20,10223.5055788024,10166.778772232,10286.0107495563,9687.2941604435
